epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,3174.67,0.85344,1.03839,1.3965,0.86063,0.81911,0.96028,0.64133,0.97463,1.28951,2.07567,0.000742625,0.000742625,0.000742625
43,3228.11,0.93997,1.14096,1.46795,0.89544,0.694,0.91167,0.62866,1.01351,1.25642,2.23231,0.00073025,0.00073025,0.00073025
44,3284.39,0.96371,1.14566,1.51339,0.89465,0.70488,0.88975,0.60575,1.05915,1.3206,2.27188,0.000717875,0.000717875,0.000717875
45,3336.37,0.91029,1.10758,1.45658,0.90288,0.70886,0.85149,0.61403,0.93104,1.39868,2.02916,0.0007055,0.0007055,0.0007055
46,3387.58,0.86417,1.10544,1.40215,0.80897,0.72364,0.83874,0.59593,0.90213,1.33066,1.94802,0.000693125,0.000693125,0.000693125
47,3438.98,0.90631,1.12208,1.51461,0.84676,0.64484,0.82931,0.58397,1.03354,1.31654,2.14261,0.00068075,0.00068075,0.00068075
48,3492.3,0.8917,1.10568,1.46045,0.88704,0.64705,0.82644,0.5778,1.14423,1.33012,2.25137,0.000668375,0.000668375,0.000668375
49,3544.28,0.84482,0.99583,1.38588,0.69394,0.86213,0.89521,0.61904,1.01126,1.28034,2.06358,0.000656,0.000656,0.000656
50,3595.66,0.79887,0.96204,1.33705,0.8203,0.78428,0.88111,0.62268,0.88802,1.09861,1.88827,0.000643625,0.000643625,0.000643625
51,3646.63,0.86492,0.9623,1.42891,0.94181,0.75646,0.92655,0.68372,0.85677,1.11785,2.00107,0.00063125,0.00063125,0.00063125
52,3698.24,0.95431,1.03497,1.45578,0.81014,0.90191,0.93944,0.67573,0.90989,1.11735,2.08217,0.000618875,0.000618875,0.000618875
53,3751.23,0.84793,1.03055,1.38743,0.86643,0.78473,0.92854,0.69213,0.86068,1.11927,1.95788,0.0006065,0.0006065,0.0006065
54,3804.19,0.89869,1.07058,1.46708,0.82899,0.79844,0.90573,0.68061,0.88316,1.10698,2.00042,0.000594125,0.000594125,0.000594125
55,3859.2,0.9014,1.03925,1.49811,0.71792,0.85432,0.87069,0.65379,0.87393,1.0765,1.96087,0.00058175,0.00058175,0.00058175
56,3911.25,0.88472,1.01681,1.45431,0.70202,0.8499,0.86912,0.65081,0.8543,1.06571,1.91372,0.000569375,0.000569375,0.000569375
57,3962.77,0.90959,1.03146,1.46461,0.6991,0.85162,0.88402,0.68686,0.8361,1.02434,1.86164,0.000557,0.000557,0.000557
58,4013.38,0.84017,0.98161,1.41214,0.73139,0.93414,0.94273,0.72684,0.82331,1.0117,1.82482,0.000544625,0.000544625,0.000544625
59,4064.62,0.80215,0.96357,1.39129,0.67295,0.86614,0.93439,0.64363,0.95058,1.08124,1.93697,0.00053225,0.00053225,0.00053225
60,4118.82,0.81553,0.93728,1.36042,0.9052,0.70326,0.92238,0.65129,0.92832,1.07536,1.90953,0.000519875,0.000519875,0.000519875
61,4170.2,0.80519,0.93081,1.37972,0.92615,0.6875,0.87625,0.64647,0.93688,1.07463,1.92309,0.0005075,0.0005075,0.0005075
62,4225.03,0.81149,0.90997,1.36922,0.89787,0.68386,0.87446,0.66668,0.9164,0.99008,1.93998,0.000495125,0.000495125,0.000495125
63,4277.41,0.76674,0.87908,1.36332,0.69883,0.87586,0.89812,0.68082,0.89808,0.9377,1.9564,0.00048275,0.00048275,0.00048275
64,5235.14,0.78547,0.84323,1.33229,0.89581,0.71885,0.90333,0.65543,0.9163,0.97636,1.96884,0.000470375,0.000470375,0.000470375
65,5287.52,0.85027,0.90021,1.39887,0.88778,0.71384,0.8328,0.61869,0.84944,1.03897,1.84831,0.000458,0.000458,0.000458
66,5339.62,0.81525,0.91827,1.41496,0.88612,0.71466,0.88389,0.64813,0.82678,1.03923,1.83851,0.000445625,0.000445625,0.000445625
